frame,brightness,motion
0,55.80,0
1,55.71,3.81
2,55.41,3.19
3,55.60,3.30
4,55.37,3.52
5,55.48,3.99
6,55.23,4.16
7,54.95,4.58
8,55.18,4.52
9,54.77,4.97
10,54.60,3.98
11,55.06,6.12
12,55.10,4.83
13,55.06,5.17
14,54.85,3.69
15,55.07,5.61
16,54.86,4.39
17,54.32,4.56
18,53.97,3.74
19,55.35,6.48
20,55.51,4.02
21,55.43,4.99
22,54.70,3.73
23,54.77,5.26
24,55.17,4.20
25,55.55,5.50
26,55.46,3.27
27,55.19,6.11
28,54.78,4.67
29,55.12,5.05
30,54.93,4.67
31,54.73,6.43
32,54.48,4.69
33,54.21,5.20
34,54.04,3.73
35,55.44,5.91
36,55.31,4.68
37,55.04,4.93
38,54.58,3.89
39,55.01,5.25
40,55.32,4.34
41,55.68,5.64
42,55.76,3.56
43,54.99,5.88
44,55.22,4.28
45,55.68,5.63
46,55.81,3.48
47,55.27,5.62
48,55.09,5.39
49,54.91,5.07
50,55.49,4.38
51,55.71,5.84
52,55.70,4.36
53,55.50,5.66
54,54.90,4.74
55,54.78,5.56
56,55.42,5.00
57,55.67,5.02
58,55.63,4.32
59,54.93,5.79
60,54.67,4.26
61,55.32,5.37
62,55.31,4.56
63,55.07,4.36
64,54.81,4.75
65,54.24,5.23
66,54.42,4.50
67,54.97,6.67
68,55.24,4.69
69,54.82,5.75
70,54.52,4.93
71,54.13,5.33
72,55.30,4.63
73,55.70,4.94
74,55.79,3.74
75,54.47,6.01
76,54.11,5.08
77,54.86,6.04
78,54.79,4.03
79,55.09,5.84
80,54.76,4.06
81,54.07,5.48
82,54.08,3.41
83,54.10,0.07
84,54.10,0.01
85,54.10,0.01
86,54.10,0.00